,name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,Price,Release_date,Review_no,Review_type,Tags,Description
0,wwe 2k24,2024-03-07,165301.0,99.99,8055097.0,42.36514031444467,71.0,AAA,2K,Visual Concepts,2315690.0,,,,,,
1,earth defense force 6,2024-07-25,159806.0,59.99,7882151.0,29.65106126155342,57.0,Indie,D3PUBLISHER,SANDLOT,2291060.0,49.99,2024-07-25,4534.0,Mixed,"Action,Third-Person Shooter,Shooter,3D,Online Co-Op,Sci-fi,PvE,Singleplayer,Multiplayer,Co-op,Local Co-Op,Local Multiplayer,Violent,Gore,Mechs,Anime","Live the future of despair.The year is 2024 AD. The survivors fought against the remaining threats while trying their best to continue their recovery.Three years passed in the year 2027. In a new world without hope, the time has come to once again resist the fate of the Earth."
2,sins of a solar empire ii,2024-08-15,214192.0,49.99,7815247.0,12.45259326556514,88.0,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940.0,,,,,,
3,legend of mortal,2024-06-14,440998.0,19.99,7756399.0,24.79781729089117,76.0,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910.0,,,,,,
4,shin megami tensei v: vengeance,2024-06-13,141306.0,59.99,7629252.0,34.25849627863547,96.0,AA,SEGA,ATLUS,1875830.0,,,,,,
5,soulmask,2024-05-30,304685.0,29.99,7540563.0,95.69781345051696,79.0,Indie,Qooland Games,CampFire Studio,2646460.0,,,,,,
6,the universim,2024-01-22,328945.0,29.99,7534369.0,16.86853054897363,81.0,Indie,Crytivo,Crytivo,352720.0,,,,,,
7,bellwright,2024-04-23,280955.0,29.99,7481940.0,41.418884797624166,78.0,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450.0,10.49,2024-04-23,7561.0,Mostly Positive,"Survival,Open World,Crafting,Medieval,Online Co-Op,City Builder,Simulation,RPG,Multiplayer,Building,Strategy,Life Sim,Exploration,Action,Co-op,Singleplayer,Third Person,Early Access,War,3D","Establish and expand your own settlements, liberate the land and assist its villagers, and recruit others to your cause while learning more about a life you had to leave behind. Command your forces, prove your valor through combat, and cement yourself as the hero of your people."
8,night of the dead,2024-05-31,394364.0,29.99,7091792.0,27.59707192847936,79.0,Indie,Jackto Studios,Jackto Studios,1377380.0,,,,,,
9,empires of the undergrowth,2024-06-07,408292.0,29.99,6950952.0,38.60212424802546,95.0,AA,"Hooded Horse,Slug Disco",Slug Disco,463530.0,,,,,,
10,kingdom hearts -hd 1.5+2.5 remix-,2024-06-13,212325.0,49.99,6828446.0,30.27494811660254,0.0,AA,Square Enix,Square Enix,2552430.0,31.04,2024-06-13,4252.0,Mostly Positive,"Action,Adventure,RPG,JRPG,Action-Adventure,Emotional,Great Soundtrack,3D,Fantasy,Colorful,Story Rich,Singleplayer,Magic,Cute,Atmospheric,Anime,Character Action Game,Action RPG,Classic,Hack and Slash",KINGDOM HEARTS -HD 1.5+2.5 ReMIX- is an HD remastered collection of 6 unforgettable KINGDOM HEARTS experiences. Take up your Keyblade to save the Disney worlds from darkness.
11,animal well,2024-05-09,305891.0,24.99,6420393.0,8.485381327666017,96.0,Indie,Bigmode,Billy Basso,813230.0,11.49,2024-05-09,12331.0,Overwhelmingly Positive,"Exploration,Metroidvania,Puzzle,Puzzle Platformer,Pixel Graphics,Platformer,Horror,Adventure,2D,Mystery,Action,Atmospheric,Relaxing,Surreal,Cute,Nonlinear,Indie,Singleplayer,Controller,Retro","Explore a dense, interconnected labyrinth, and unravel its many secrets. Collect items to manipulate your environment in surprising and meaningful ways. Encounter beautiful and unsettling creatures, as you attempt to survive what lurks in the dark. There is more than what you see."
12,age of mythology: retold,2024-09-04,236419.0,29.99,6381185.0,9.389112456991116,91.0,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680.0,,,,,,
13,star wars™: battlefront classic collection,2024-03-13,185054.0,35.01,6048340.0,4.360934964168404,0.0,Indie,Aspyr,Aspyr,2446550.0,,,,,,
14,another crab's treasure,2024-04-25,264723.0,29.99,5719324.0,10.434608015373133,95.0,Indie,Aggro Crab,Aggro Crab,1887840.0,,,,,,
15,homeworld 3,2024-05-13,102487.0,59.99,5516030.0,8.497439609058835,42.0,AA,Gearbox Publishing,Blackbird Interactive,1840080.0,,,,,,
16,winter memories,2024-01-05,424281.0,19.99,5478333.0,8.98400541606548,0.0,Indie,Kagura Games,Dojin Otome,2495450.0,,,,,,
17,nine sols,2024-05-28,214407.0,29.99,5475592.0,17.894843749042394,96.0,Indie,RedCandleGames,RedCandleGames,1809540.0,8.39,2024-05-29,10105.0,Overwhelmingly Positive,"Action,Metroidvania,Souls-like,Difficult,Hand-drawn,Platformer,2D,Adventure,Atmospheric,Cats,Dark Fantasy,Story Rich,Sci-fi,Mythology,Gore,Indie,Singleplayer,Martial Arts,Action-Adventure,Comic Book","Nine Sols is a lore rich, hand-drawn 2D action-platformer featuring Sekiro-inspired deflection focused combat. Embark on a journey of eastern fantasy, explore the land once home to an ancient alien race, and follow a vengeful hero’s quest to slay the 9 Sols, formidable rulers of this forsaken realm."
18,outpost: infinity siege,2024-03-26,278031.0,24.99,5312327.0,35.08670209892025,68.0,AA,Lightning Games,Team Ranger,1566690.0,,,,,,
19,sker ritual,2024-04-18,267953.0,24.99,5058868.0,6.477539083793293,82.0,Indie,Wales Interactive,Wales Interactive,1492070.0,,,,,,
20,shapez 2,2024-08-15,261028.0,24.99,4810868.0,16.307715687349233,99.0,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800.0,,,,,,
21,senua’s saga: hellblade ii,2024-05-21,107010.0,49.99,4747832.0,5.160077378916766,88.0,AAA,Xbox Game Studios,Ninja Theory,2461850.0,15.99,2024-05-21,4210.0,Very Positive,"Action-Adventure,Psychological Horror,Story Rich,Female Protagonist,Cinematic,Mythology,Dark,Action,Adventure,Singleplayer,Atmospheric,Third Person,Horror,Psychological,Dark Fantasy,Swordplay,Walking Simulator,Vikings,Realistic,Combat","The sequel to the award winning Hellblade: Senua’s Sacrifice, Senua returns in a brutal journey of survival through the myth and torment of Viking Iceland. Intent on saving those who have fallen victim to the horrors of tyranny, Senua faces a battle of overcoming the darkness within and without."
22,pixel gun 3d: pc edition,2024-04-02,1626877.0,0.0,4707782.0,11.89782337701754,62.0,Indie,Cubic Games Studio,Cubic Games Studio,2524890.0,0.0,2024-04-02,28478.0,Mixed,"PvP,Pixel Graphics,Multiplayer,Shooter,Character Customization,FPS,Action,Combat,First-Person,Arena Shooter,Battle Royale,Singleplayer,Third-Person Shooter,Hero Shooter,Adventure,Lore-Rich,Sniper,Colorful,Voxel,Cartoony","The legendary mobile multiplayer FPS Pixel Gun 3D comes to PC! Experience an enhanced world of colorful, blocky action. Featuring dozens of game modes and maps, 1500+ guns plus cross-platform multiplayer and progression."
23,backpack battles,2024-03-08,499559.0,12.99,4663468.0,42.85143977627138,90.0,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700.0,,,,,,
24,crime scene cleaner,2024-08-14,285596.0,19.99,4644684.0,8.5955248244436,98.0,Indie,"President Studio,PlayWay S.A.",President Studio,1040200.0,7.99,2024-08-14,6523.0,Overwhelmingly Positive,"Crime,Simulation,Gore,Singleplayer,First-Person,Mature,Action,Adventure,Atmospheric,Funny,Realistic,Exploration,Stealth,Indie,Life Sim,Walking Simulator,Hacking,Heist,Great Soundtrack,Violent","Once you get tangled with the mob, you will forever be a part of the mob. At least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you’re doing. So clean crime scenes, earn as much money as you can, and get ready for the next mission."
25,kebab chefs! - restaurant simulator,2024-01-19,312189.0,17.99,4552032.0,9.479225359641724,89.0,Indie,Biotech Gameworks,Biotech Gameworks,1001270.0,,,,,,
26,predecessor,2024-08-20,433605.0,0.0,4523839.944318563,109.91382768034087,79.0,Indie,Omeda Studios,Omeda Studios,961200.0,0.0,2024-08-20,11742.0,Mostly Positive,"MOBA,Shooter,Free to Play,Third Person,Multiplayer,Strategy,Action,PvP,Team-Based,Third-Person Shooter,Competitive,Fantasy,Sci-fi,3D,Online Co-Op,Tactical,Co-op,Early Access,PvE,Combat","Inspired by the legacy of Paragon, built with love by the community, and powered by Unreal Engine 5, Predecessor is the ultimate fusion of shooter action and MOBA strategy. Join more than 2,000,000 players and play for FREE now!"
27,palia,2024-03-25,881082.0,0.0,4263470.0,47.02791482592875,78.0,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930.0,,,,,,
28,"little kitty, big city",2024-05-09,206880.0,24.99,4238137.0,4.143531272874482,95.0,Indie,Double Dagger Studio,Double Dagger Studio,1177980.0,,,,,,
29,secrets of grindea,2024-02-29,314988.0,14.99,4161183.0,21.69826525906877,90.0,Indie,Pixel Ferrets,Pixel Ferrets,269770.0,,,,,,
30,chrono ark,2024-05-02,301197.0,24.99,4113334.0,37.2041660638596,91.0,Indie,Al Fine,Al Fine,1188930.0,,,,,,
31,nova drift,2024-08-12,445361.0,17.99,4047331.0,24.72868457429413,96.0,Indie,Pixeljam,Chimeric,858210.0,7.79,2024-08-12,11094.0,Overwhelmingly Positive,"Action Roguelike,Space,Indie,Bullet Hell,Roguelite,Arcade,Shooter,Shoot 'Em Up,Action,Replay Value,2D,Arena Shooter,Singleplayer,Roguelike,Early Access,Great Soundtrack,Retro,Action RPG,Colorful,Casual","Nova Drift distills the mechanical depth and strategy of an ARPG into classic arcade space combat. Control an endlessly evolving bio-mechanical ship, face legions of strange and deadly foes, and ride the wake of a dying star across the void."
32,kingdom rush 5: alliance td,2024-07-25,245264.0,19.99,4042356.0,9.09008744972337,86.0,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080.0,8.19,2024-07-25,4785.0,Very Positive,"Strategy,Tower Defense,2D,Cartoon,Cartoony,Dragons,Singleplayer,Fantasy,Building,Funny,Medieval,Indie,Action,Adventure,Comedy,Magic,Dark","While a formidable evil emerges, an unexpected alliance is taking shape! It will take the finest warriors of Linirea and the relentless Dark Army to stop it. Beware! Though they may journey side by side the ever-changing winds of fate could swiftly alter their course."
33,norland,2024-07-18,170621.0,29.99,3991591.0,18.46350698089453,79.0,AA,Hooded Horse,Long Jaunt,1857090.0,,,,,,
34,eiyuden chronicle: hundred heroes,2024-04-23,91925.0,49.99,3953243.0,26.18784418359856,0.0,AA,505 Games,Rabbit & Bear Studios,1658280.0,29.99,2024-04-23,2034.0,Mostly Positive,"RPG,JRPG,2.5D,Turn-Based Combat,Story Rich,Singleplayer,Adventure,Combat,Indie,Strategy,Action-Adventure,Action RPG,Crafting,Anime,Action,Party-Based RPG,Political,Turn-Based,Female Protagonist,Base Building",Eiyuden Chronicle: Hundred Heroes is designed to bring players a modern take on a classic JRPG experience. Get ready to lead 100+ playable characters through a war-torn world only you can save.
35,le mans ultimate,2024-02-20,120703.0,32.99,3740762.0,24.51989839725174,78.0,Indie,Studio 397,Studio 397,2399420.0,,,,,,
36,the hungry lamb: traveling in the late ming dynasty,2024-04-22,588305.0,9.99,3689551.0,5.515544910785541,97.0,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370.0,,,,,,
37,fabledom,2024-05-13,274354.0,20.99,3559827.0,9.741550826316857,90.0,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560.0,,,,,,
38,apollo justice: ace attorney trilogy,2024-01-24,89327.0,49.99,3465018.0,40.0243065252875,93.0,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220.0,,,,,,
39,f1® manager 2024,2024-07-23,111464.0,34.99,3428483.0,22.803547133217016,66.0,AA,Frontier Developments,Frontier Developments,2591280.0,,,,,,
40,men of war ii,2024-05-15,84565.0,44.99,3406127.0,21.05376649227358,0.0,Indie,Fulqrum Publishing,Best Way,1128860.0,14.99,2024-05-15,3844.0,Mixed,"Multiplayer,Co-op,World War II,RTS,Singleplayer,Strategy,Real Time Tactics,Online Co-Op,Wargame,Realistic,Moddable,Historical,Level Editor,Action,Military,Tanks,Tactical,3D,PvP,Top-Down","Experience warfare like never before! Men of War II, the anticipated sequel to the highly acclaimed RTS franchise is here with all-new units, locations, campaigns, game modes and true trademarks of the series: historical fidelity and action-filled gameplay on the Eastern and Western Fronts of WWII."
41,banishers: ghosts of new eden,2024-02-12,78137.0,49.99,3387809.0,22.31599204035413,87.0,AA,Focus Entertainment,DON'T NOD,1493640.0,27.99,2024-02-12,2842.0,Very Positive,"Narration,Lore-Rich,Third Person,Emotional,Atmospheric,Action RPG,Exploration,RPG,Action-Adventure,Choices Matter,Horror,Story Rich,Action,Dark Fantasy,Fantasy,Vampire,Adventure,Cinematic,Supernatural,Combat","Hunt ghosts as two memorable characters in a story-driven Action-RPG where your decisions carry dramatic consequences. Torn between honoring your oath to the living and saving your departed partner, how far will you go for love?"
42,buckshot roulette,2024-04-04,1486957.0,2.99,3369649.0,2.995872787721658,95.0,Indie,CRITICAL REFLEX,Mike Klubnika,2835570.0,1.49,2024-04-04,28263.0,Very Positive,"Dark,Horror,First-Person,Gambling,Strategy,Singleplayer,3D,Indie,Psychological,Multiplayer,Puzzle,Experimental,Action,Roguelike,Simulation,Blood,Psychological Horror,Surreal,FPS,Roguelite",Play Russian roulette with a 12-gauge shotgun. Two enter. One leaves. Roll the dice with your life. Good luck!
43,fields of mistria,2024-08-05,265456.0,13.99,3342356.0,15.649349536238686,98.0,Indie,NPC Studio,NPC Studio,2142790.0,,,,,,
44,forewarned,2024-04-25,366053.0,12.99,3322822.0,8.447204850866648,91.0,Indie,Dreambyte Games,Dreambyte Games,1562420.0,,,,,,
45,midnight ghost hunt,2024-03-21,371470.0,19.99,3272209.0,11.916997192362892,78.0,AA,Coffee Stain Publishing,Vaulted Sky Games,915810.0,8.19,2024-03-21,5151.0,Very Positive,"Multiplayer,Combat,Team-Based,PvP,Supernatural,FPS,First-Person,Action,Shooter,1990's,Indie,Sci-fi,Realistic,Horror,Comedy,Tactical,Co-op,3D,Third-Person Shooter,Controller",The chaotic multiplayer hide-and-seek game. Possess seemingly harmless objects as Ghosts or chase them down as Hunters before the clock strikes midnight!
46,tomb raider i-iii remastered starring lara croft,2024-02-13,125073.0,29.99,3262820.0,25.629116385966054,87.0,Indie,Aspyr,"Aspyr,Crystal Dynamics",2478970.0,10.49,2024-02-14,3778.0,Very Positive,"Action,Action-Adventure,Female Protagonist,Exploration,Old School,3D,Singleplayer,Adventure,Controller,Classic,Puzzle,Atmospheric,Violent,Remake,Platformer,Great Soundtrack,Difficult,Story Rich,Mature,Horror",Play the original three Tomb Raider adventures with all expansions and secret levels in this definitive collection.
47,five nights at freddy's: into the pit,2024-08-07,181334.0,19.99,3262379.0,5.095655826350983,96.0,Indie,Mega Cat Studios,Mega Cat Studios,2638370.0,8.19,2024-08-08,6741.0,Overwhelmingly Positive,"Horror,Pixel Graphics,Adventure,2D,Singleplayer,Exploration,Action,1980s,Multiple Endings,Point & Click,Indie,Dark,Atmospheric,Side Scroller,1990's,Action-Adventure,Survival Horror,Story Rich,Psychological Horror,Robots","Survive five nights of terror in this chilling adventure game. Travel between time periods to solve puzzles, gather clues, and outrun the threat relentlessly pursuing you. Move swiftly and stay hidden, and you may just survive. But be careful—it's not just your own life that’s on the line this time."
48,ea sports™ madden nfl 25,2024-08-15,50521.0,69.99,3182368.0,16.10649107133234,50.0,AAA,Electronic Arts,Tiburon,2582560.0,,,,,,
49,rotwood,2024-04-24,412521.0,10.99,3180800.0,8.798469833185573,73.0,AA,Klei Entertainment,Klei Entertainment,2015270.0,5.89,2024-04-24,5761.0,Mostly Positive,"Online Co-Op,Dungeon Crawler,PvE,Action Roguelike,Hack and Slash,Co-op,Action-Adventure,Roguelite,Exploration,Multiplayer,RPG,Action,Singleplayer,Beat 'em up,Adventure,Replay Value,Action RPG,Medieval,2D,Fantasy","The world has been thrown into chaos, and it's up to you and your friends to battle the corrupted beasts of the Rotwood. Upgrade your gear, choose your preferred weapon, and hone your skills to defend your safe haven."
50,hookah haze,2024-07-10,17717.0,17.99,263733.0,4.766068924187017,92.0,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300.0,,,,,,
51,future fragments,2024-02-22,14679.0,19.99,263197.0,6.791463008808835,80.0,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920.0,,,,,,
52,botany manor,2024-04-09,12312.0,24.99,263004.0,3.329619728276769,96.0,Indie,Whitethorn Games,Balloon Studios,1425350.0,,,,,,
53,scarlet tower,2024-03-25,66201.0,4.99,262728.0,10.807864513617217,86.0,Indie,Pyxeralia LLC,Pyxeralia LLC,2181720.0,2.99,2024-03-25,1352.0,Very Positive,"Vampire,Action Roguelike,Pixel Graphics,Dark Fantasy,Bullet Hell,Roguelike,Survival,Hand-drawn,RPG,Action,Demons,Casual,2D,Zombies,Medieval,Gothic,Combat,Procedural Generation,Singleplayer,Action RPG","Hunt during the day, be hunted during the NIGHT! Scarlet Tower is a gothic horror casual game with roguelike and RPG elements, like talent trees, classes, familiars and more!"
54,vellum,2024-03-28,15742.0,19.99,260940.0,7.258494933109757,90.0,Indie,"Alvios, Inc.",Alvios Games,917950.0,19.99,2024-03-28,246.0,Very Positive,"Action Roguelike,Online Co-Op,Third-Person Shooter,Fantasy,3D,Roguelike,Action,Multiplayer,PvE,Magic,Roguelite,Arena Shooter,Co-op,Shooter,Third Person,Arcade,Combat,Singleplayer,Early Access,Colorful","Dive into the magic tomes of Vellum, a cooperative action roguelike. Discover pages of increasing power, sling ink-infused spells, and choose how your foes evolve - as a group or solo!"
