name,price_x,release_date,review_no,review_type,tags,description,Release_date,releasedate,copiessold,price_y,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
 Wanba Warriors,2.99,2020-03-26,2210.0,Very Positive,"Fighting,Multiplayer,Funny,Parody ,PvP,Local Multiplayer,Local Co-Op,eSports,Physics,2D,Comedy,Controller,Action,Cute,Memes,2D Fighter,Stylized,Combat,Family Friendly,Online Co-Op","Have you got what it takes to be a Wanba Warrior? Step into the absurd world of calligraphy combat and prepare to lay the smackdown upon all who dare to oppose you, dishing out damage with your chosen ink brush of brutality! highly recommend playing with controllers.",2020-03-26,,,,,,,,,,
#BLUD,,,,,,,,18-06-2024,5557.0,24.99,117246.0,6.316958418986393,76.0,AA,Humble Games,Exit 73 Studios,1921480.0
.hack//G.U. Last Recode,49.99,2017-11-03,2993.0,Very Positive,"RPG,JRPG,Anime,Singleplayer,Story Rich,Action RPG,Great Soundtrack,Action,Fantasy,Hack and Slash,Classic,Adventure,Open World,Remake,Sci-fi",".hack//G.U. is back!

This collection includes all 3 original .hack//G.U. titles, Rebirth, Reminisce, and Redemption, all fully restored and remastered.  As well as an all new 4th Volume: .hack//G.U. Reconnection.",2017-11-03,,,,,,,,,,
1 Million Zombies,2.74,2023-12-10,22.0,Positive,"Action,Casual,Vehicular Combat,Singleplayer,Arcade,Zombies,Auto Battler,Sandbox,Bullet Hell,Shoot 'Em Up,Indie,3D,Third Person,Comic Book,Combat,Nonlinear","1 Million Zombies is a casual arcade inspired game, where the players main goal is to destroy as many Zombies as possible with an Array of Vehicles and Weapons.

Do you have what it takes to kill 1 Million Zombies?",2023-12-10,,,,,,,,,,
1 to 1 humanoid edible toys,,,,,,,,07-08-2024,21002.0,7.99,140013.0,2.4110427035103563,95.0,Indie,无,"汉谟拉比炒面,我的屁是香哒",2976720.0
10 Miles To Safety,5.49,2020-10-21,833.0,Mostly Positive,"Strategy,Action,Indie,Zombies,Action Roguelike,Top-Down Shooter,Violent,Top-Down,Gore,Online Co-Op,Survival,Post-apocalyptic,Loot,Co-op,Isometric,Roguelite,Multiplayer,Procedural Generation",The Apocalypse has arrived and your goal is simple: Make it 10 miles to safety through a limitless procedurally-generated world overrun with The Infected and packed with the tools and weapons to fight them.,2020-10-21,,,,,,,,,,
1000$,0.9,2019-07-31,43.0,Mixed,"Indie,Simulation,Action,Adventure,First-Person,Singleplayer,Stealth,Funny,Atmospheric,Replay Value,Comedy,Arcade,Relaxing,Horror","1000$ – a first-person horror where you are supposed to rob a house. The main character is a young guy who decides to upgrade his computer due to the release of some new interesting games. However, he has to get 1,000 dollars somewhere to buy the required hardware.",2019-07-31,,,,,,,,,,
1000xRESIST,,,,,,,,09-05-2024,19741.0,19.99,334157.0,6.69160734978218,97.0,Indie,Fellow Traveller,sunset visitor 斜陽過客,1675830.0
11F,,,,,,,,19-04-2024,3998.0,8.99,23351.0,1.318908909352338,83.0,Indie,PUMPKIM,PUMPKIM,1847120.0
12 Labours of Hercules XI: Painted Adventure,6.19,2020-11-18,15.0,Mixed,"Action,Adventure,Casual,Puzzle,Time Management,Cartoon,Cartoony,Colorful,Cute,Comic Book,Education,Management,Family Friendly,Resource Management,Strategy,Time Manipulation,Singleplayer","Help Emma—the young artist from the 21st century—settle her troubles with Greek gods, prepare Hercules to the contest and save Megara!",2020-11-18,,,,,,,,,,
12 is Better Than 6,5.49,2015-11-20,3538.0,Very Positive,"Action,Shooter,Western,Top-Down Shooter,Singleplayer,Indie,Hand-drawn,2D,Atmospheric,Adventure,Violent,Difficult,Blood,Gore,Great Soundtrack,Arcade,Stylized,Top-Down,Dark Humor,Funny","12 is Better Than 6 is a dynamic top-down shooter with stealth elements, presented in a Wild West theme. The story puts you in the shoes of escaped slave fleeing to the United States in 1873.",2015-11-20,,,,,,,,,,
13 Seconds,2.49,2024-03-08,23.0,Positive,"Action,Casual,Bullet Hell,Roguelike,Shooter,Arcade,Pixel Graphics,Cyberpunk,Shoot 'Em Up,2D,Cartoony,Sci-fi,Robots,PvE,Controller,Singleplayer","[13 Seconds] is a hardcore bullet hell roguelike game.



Use both hands to control two robots at the same time and fight your way through a barrage of bullets and death rays from merciless machines of destruction!

Will you be able to reach the ultimate level 13?",2024-03-08,,,,,,,,,,
14 Minesweeper Variants 2,,,,,,,,14-06-2024,6567.0,6.99,36460.0,30.8273594644494,98.0,Indie,Artless Games,"Alith Games,Artless Games",2631960.0
15th Floor,2.49,2024-04-05,27.0,Positive,"Action,Adventure,Psychological Horror,Walking Simulator,Simulation,Multiple Endings,Puzzle,Exploration,Action-Adventure,FPS,Choices Matter,Logic,First-Person,Realistic,Surreal,Horror,Funny,3D,Singleplayer,Indie",You are stuck in an apartment building with endless floors. Observe your surroundings carefully to go up to the 15th floor and reach the roof of the apartment building. Do not ignore any abnormalities. Your carelessness could result in death.,2024-04-05,,,,,,,,,,
171,10.49,2022-11-17,2825.0,Mostly Positive,"Action,Indie,Open World,Crime,Gore,Shooter,Violent,Heist,Singleplayer,Third Person,Sandbox,Third-Person Shooter,Early Access,Sexual Content,Multiplayer",171 is an open world action adventure game with a Brazilian inspired ambience.,2022-11-17,,,,,,,,,,
