game_name,total_score
69 Balls,2109.50
7 Days to Die,2414801.50
ARK: Survival Ascended,817893.30
ARK: Survival Evolved,4902461.45
Age of Empires II (Retired),430372779.40
Age of Empires II: Definitive Edition,1296057.65
Age of Empires IV: Anniversary Edition,626294.30
Age of Mythology: Retold,91802.20
Age of Wonders 4,366044.65
Aimlabs,309938.10
Ale & Tale Tavern,5410.90
All-In-One Sports VR,2300.00
American Truck Simulator,1289427.90
Among Us,397923.80
Anno 1800,400167.10
Apex Legends™,2075721.95
Arma 3,5016289.95
Armello,429802039.85
Assetto Corsa,860193.35
Assetto Corsa Competizione,760648.30
Balatro,234692.95
BeamNG.drive,1157719.35
Black Myth: Wukong,114326.90
Bloons TD 6,731334.00
Call of Duty®,853100.50
Call of Duty®: Black Ops III,430268850.20
Car Mechanic Simulator 2021,274169.20
CarX Drift Racing Online,634027.00
CarX Street,55762.95
Caves of Qud,515806.80
Chained Together,41153.05
Cities: Skylines II,302527.60
Company of Heroes 3,426585.90
Core Keeper,255253.00
Counter-Strike 2,4966974.70
Crime Scene Cleaner,39563.25
DARK SOULS™ III,907616.80
DAVE THE DIVER,138438.50
DREDGE,61433.70
Dale & Dawson Stationery Supplies,17103.95
Dark and Darker,274064.00
Dead Cells,859282345.10
Dead Rising Deluxe Remaster,9813.15
Dead by Daylight,433274194.70
Deep Rock Galactic,1267793.35
Descenders,190202.45
Destiny 2,4762923.35
DiRT Rally 2.0,342995.15
Diablo® IV,322598.30
Divinity: Original Sin 2 - Definitive Edition,640503.25
Don't Starve,429882994.85
Don't Starve Together,1282246.25
Dorfromantik,154826.50
Dragon's Dogma 2,265838.40
Driftwood,5748.30
Dune: Imperium,62538.45
Dying Light,429963501.10
Dyson Sphere Program,770389.45
EA SPORTS FC™ 24,728826.75
EA SPORTS FC™ 25,7717.20
EA SPORTS™ Madden NFL 25,27234.35
EA SPORTS™ WRC,140485.00
ELDEN RING,674362.05
ENDLESS™ Legend,309616.70
Euro Truck Simulator 2,1564666.95
Europa Universalis IV,4612326.35
F1® 24,85921.45
F1® Manager 2024,38233.70
FINAL FANTASY VII REMAKE INTERGRADE,166667.10
FINAL FANTASY XIV Online,10497633.10
Fallout 4,430680332.55
Fallout 76,935510.45
Fallout: New Vegas,827151.20
Fields of Mistria,105558.50
Fishing Planet,667296.85
Football Manager 2024,1494461.40
For The King,172811.15
Forza Horizon 5,551824.15
